path	blob_sha256	bytes	units	language	status	reason
.gitignore	4cad133d4f0a6cf4bba15f1b8bbae48d6a55f20b94f75487c51a93cc6a5af59f	26	3	other	included	
LICENSE	2ad640fb792e4637759f6e9d6eac29886abcfa5a9c6a0786090b35ab57c28d91	7078	124	other	included	
README.md	78fa4cdab019086a639809fffc96773f97568a01e087622f22394940aa32e3bc	13887	308	markdown	included	
adapters/lora-guitar/README.md	81a913fbf4297679c4f8e96674e1fe2b8b168a8dfa84c685e8d1668ef954bc28	5372	0	markdown	excluded	generated-or-vendor-path
adapters/lora-guitar/adapter_config.json	1587da55815d4b33cd34bab8fe26f39773b3eaece20f65f5b0593fba367fe38c	1168	0	json	excluded	generated-or-vendor-path
adapters/lora-guitar/adapter_model.safetensors	2a4d78c8db82b5f0a7399f3076eb10a98add5163ac5623dbde29f018c1e12874	34793120	0	other	excluded	generated-or-vendor-path
adapters/lora-sourdough/README.md	81a913fbf4297679c4f8e96674e1fe2b8b168a8dfa84c685e8d1668ef954bc28	5372	0	markdown	excluded	generated-or-vendor-path
adapters/lora-sourdough/adapter_config.json	1587da55815d4b33cd34bab8fe26f39773b3eaece20f65f5b0593fba367fe38c	1168	0	json	excluded	generated-or-vendor-path
adapters/lora-sourdough/adapter_model.safetensors	4a3b6d88205cccc1ecbfcd1b017a3d42f38017782454ccc02795d34501bacd34	34793120	0	other	excluded	generated-or-vendor-path
corpus/guitar-test.jsonl	de267523eddd0668d35811d11eb2f76be148c7c3745d6f64d77a85dd3662f42e	9638	0	other	excluded	generated-or-vendor-path
corpus/guitar-train.jsonl	00a349055c32f3b2995f9073b7a9ba2a51ebe1763b36e2a4706d8af6c767a285	37078	0	other	excluded	generated-or-vendor-path
corpus/operator-adversarial.jsonl	ad0c657fb848592c80d50e205da35bd51ff757dc6993926b043e84dc49a1d1e9	2862	0	other	excluded	generated-or-vendor-path
corpus/operator-test.jsonl	f6aa6760dba978d0578b720356e715b7a0af4fadf8d6db6d34ef190f3434cc24	12231	0	other	excluded	generated-or-vendor-path
corpus/operator-train.jsonl	5eb340d5e3aadf380c21d28c57fc138358503c84196ac8dc96a5104b7162fc44	32974	0	other	excluded	generated-or-vendor-path
corpus/sourdough-test.jsonl	13c5fb7b82018f0af8230af8583a47cc5f635e23c37377b80511c4244705f000	9563	0	other	excluded	generated-or-vendor-path
corpus/sourdough-train.jsonl	9a7221ea798ad719029cd26602421f3e7a4539bfcccc2fe226534b2aba968e8d	38513	0	other	excluded	generated-or-vendor-path
docs/bbywvy-360m-notes.md	5c599158ac1176652c009e0923feec3fbf00f33e4978af0337408d9be5a1e37a	2685	55	markdown	included	
docs/tiny-fleet-drift-report.md	72c9972bcc7dde53a8283af1d0c3f0559683de90cd9bb86037ac56b1b72a3df3	7092	176	markdown	included	
models/operator-policy.json	90cb89c91e89e31caa78cfe2b26c9772568d2af74627f6b3b5d51a5a2283a1a1	7977	234	json	included	
scripts/bbywvy_test.py	3ed3cca3f3f2ff8d04bdfb4be78db956bda565abd248256e6189ea1ab27bdff4	2129	41	python	included	
scripts/fleet_benchmark.py	f5e5de46ee6a99109e1d4a3a3c5abb7f367e7df4c293e7948deef7838b8e49ac	6033	154	python	included	
scripts/mkcorpus.py	044039eeacfc173cc1962f3bfeddad20f13c799f4e13dcfcded069b141784e3c	3893	94	python	included	
scripts/operator_policy.py	60c72ae3b574b6088a1f6b31c2f1e0d28b36dca2c91fc5204ea6bc051b4a7218	23461	500	python	included	
scripts/router.py	adaf9b78f9d8b9bb4c5302a7f1f590b6d548bc8d15d8b6c509e77e95b72a398d	3689	104	python	included	
scripts/train_eval.py	83aad51bcffc33dbf8a307943974e6cb72a1107920905e254406902e0fe6be9d	4200	122	python	included	
