path	mode	kind	git_object_id	bytes	sha256	status	reason
.editorconfig	100644	blob	e32c8029d1860bf40125d8458db3bd1c4d3f4058	217	759961cac46ae6f8b823e4b377435d2e04311e7026e462976ff54c352eee6f2b	excluded	outside-native-package
.github/ISSUE_TEMPLATE/bug-report.md	100644	blob	c2a15eeee8ddaa277247311d578119f3a2771c5b	607	32b0383ca3cdc7f812aee06b863deb64cb3240c3001a26ac3c46811433b65cc6	excluded	outside-native-package
.github/ISSUE_TEMPLATE/config.yml	100644	blob	abe3915622b4a599c8a422aff698654098cdb93c	489	59db6f9003216c0477af5278f0bd3dfbb4f46c982f5a13708de58272727ef36e	excluded	outside-native-package
.github/ISSUE_TEMPLATE/feature-request.md	100644	blob	52c2aed416c35b7bdeef1793a6a9fb2c4482682e	416	09f7166294a022f7926f32a0c3a785706b3e777f53586dd2cfdf07ee172410b6	excluded	outside-native-package
.github/SECURITY.md	100644	blob	fcfac71bfcb33c0a53b3a30673f0c38fbad8c3cb	914	63ed773064a5d44324c4be42661a27ab30a13f323181733b7b42f59504852ab9	excluded	outside-native-package
.github/dependabot.yml	100644	blob	90f94bc32b917f4902e37ebf40553590c3b3a521	167	fe27cc0e9c91980474bf2e6c4bbb7c035bb71b781c7fff67a4fa142fbe6c4eed	excluded	outside-native-package
.github/pull_request_template.md	100644	blob	29fd35f8557158826f728f846f4c631a18469400	971	37497840677a8fe41c0e24ec7dde8b298a728fcbf94dc62eee29326bbd49ca84	excluded	outside-native-package
.github/workflows/lock.yaml	100644	blob	cd89f67c9d3dd8ea37efbbe77391bddaa16ac694	495	8b62ae587df628fa5c355c63761f5dc64d3ed620541c82084ca9cb0600a41627	excluded	outside-native-package
.github/workflows/tests.yaml	100644	blob	674fb8b73bc3f409f6a34b2cefd32b54832a72f4	1693	1801def7bf5345fb19a283c263499c2be91892767679ef14f6ee19c7add6c4bc	excluded	outside-native-package
.gitignore	100644	blob	e6713351c1fd5651ea1c1b599211b49606450678	207	ea91eb6582fa6fbd39f24287a2fe6f63353bf3eaea58d0f123704820e95df742	excluded	outside-native-package
.pre-commit-config.yaml	100644	blob	5d767e605bb88286f2acca6a08e1793ab40d8925	1080	ff6d56d25de08837692e7d8fd4ef71a77c659edf3d982d645cd273661be0ae42	excluded	outside-native-package
.readthedocs.yaml	100644	blob	346900b20057ec00e57daea6fe05344254f1c168	209	dd47a46c7c3027f89216b0a9c2f2ea91275cc7dd2717f6a271a661a29beb2b1a	excluded	outside-native-package
CHANGES.rst	100644	blob	e33abe8a43a900da063c51982c76dd6ad8768d9c	63519	c4ed6dd26570bbd9c56d5a9ce6458fd3aacbcaf8a256367d4ef00aa0f988b1ee	excluded	outside-native-package
CODE_OF_CONDUCT.md	100644	blob	f4ba197dec599c24887a90b70d54ee41fb7cf79d	3358	3b3eee7b9db5c0c0a27b60a60883dd706dc954b5dcb25264ff1611ef87426c79	excluded	outside-native-package
CONTRIBUTING.rst	100644	blob	d5e3a3f776bbd4fe6794eb903607479460155232	6687	732c6e5a34d1134576808f648f0b86d49855780731d9e1f75ada1bed1bb19fe2	excluded	outside-native-package
LICENSE.rst	100644	blob	9d227a0cc43c3268d15722b763bd94ad298645a1	1475	489a8e1108509ed98a37bb983e11e0f7e1d31f0bd8f99a79c8448e7ff37d07ea	excluded	outside-native-package
MANIFEST.in	100644	blob	65a9774968e2ff27f6c5b93ac77dab3ad8d1a052	206	ce56a352e8d1f1fde8a753c15d815888c93e720f7e28452c3ecdeb9aab8e3581	excluded	outside-native-package
README.rst	100644	blob	3d1c3882afacb26e11edbf2e1890ed820e3bd130	2158	dfc60b903c5e01d7b3078fc938c362769dc9bfaf1263a817d55690fd5c3e3b03	excluded	outside-native-package
artwork/LICENSE.rst	100644	blob	99c58a2127c35d774be7d529cd359b02951b97a4	780	2e63a3bd3a1f97e2fa9fa33bbf4f61bbb56ee16beb125b5346b0012388dc3b49	excluded	outside-native-package
artwork/logo-full.svg	100644	blob	8c0748a286922dec907359b0f8d5010ecf20c3c9	78447	0fec920ef33dc9ec541c056bc6504e9d78c75c867ffe895f66cee888946dbd92	excluded	outside-native-package
artwork/logo-lineart.svg	100644	blob	615260dce64e6c824f457e2b83a6cb5d9559213c	8119	c4705ec9f523299ad815780e874be62c3627cea0a67db9a8cbd8b1bc3a78d0f5	excluded	outside-native-package
docs/Makefile	100644	blob	d4bb2cbb9eddb1bb1b4f366623044af8e4830919	634	8b6587b859607f200f116e2cb043fc358e1c3a26c326b563bf348453cfc68307	excluded	outside-native-package
docs/_static/debugger.png	100644	blob	7d4181f6a41dfe2ab698c18834c8d64f5ccb1a8f	207889	2979c9c95ae0fe68a6f5c0055833744daa735f56d3495ee5a41c139ad8567c56	excluded	outside-native-package
docs/_static/flask-icon.png	100644	blob	55cb8478ef215c3735a12cf5e4c902b967c0054f	6933	e115744446f9a617797781fac18f8b92149370a0ce0c648b449b5a55e979384b	excluded	outside-native-package
docs/_static/flask-logo.png	100644	blob	ce236061574a27424bdbcaa5168672fdebcd4eae	14703	e3b1802e68cdd1ebc02f0132c1f8097c109d38867dc44f1813c064181312ff5f	excluded	outside-native-package
docs/_static/no.png	100644	blob	644c3f70f95f2cb336cbb6b2ffcbbf33ad64184b	259	bc59d3c5cbfe58a7bee295a5d0eb2a200b78201e20c24f393050f2134d9eb10f	excluded	outside-native-package
docs/_static/pycharm-run-config.png	100644	blob	3f78915796e34c54a90008782caa61df47ea248a	77462	473badf0ebfe33f95d9ab95741883f7bc1b0ca8957cb63febac5c49b02cb9146	excluded	outside-native-package
docs/_static/yes.png	100644	blob	56917ab2c66ad842c6abb9f0566d6536be15fa69	241	8e82a0553eb614cce4dca6c60d77626febf3769eb00e0d926f9b54d5a88c5876	excluded	outside-native-package
docs/api.rst	100644	blob	880720b408b91749670a56870569c1c7802ce0d0	22602	99b6db4c71c789a3f0de61d79246c9b2ecc5ce0d48b05d869c2bd7fd0b213b41	excluded	outside-native-package
