path	mode	kind	git_object_id	bytes	sha256	status	reason
.coveragerc	100644	blob	b5008b2b2f770e2b846bfa3852e4b5ff0b27e88a	33	8ac66b93028230c815ef67e0b38e74c65cc965a87ca3a49c16a8b8d7f641186d	excluded	outside-native-package
.git-blame-ignore-revs	100644	blob	db51a967bfe68d079f4379a23968023372b6e7f6	234	cb1e75b75e5842448557aa313bb77bb5ab2e4dc80a2a5cd5a2804a1afbf97aea	excluded	outside-native-package
.github/CODE_OF_CONDUCT.md	100644	blob	ff7f10665a52188f3483981c57b5827058b29c4b	346	0216c86755ca264f605593cc82deadc13c3e84b97a60bf461fcda7b4b8b23242	excluded	outside-native-package
.github/CONTRIBUTING.md	100644	blob	3470dfee835a73525fdc118574ed18d3385c432b	2885	6ce203a20b7bc3c87eccdb9be5888bded1bcb7743a598b3cf91b7be65f41f4e0	excluded	outside-native-package
.github/FUNDING.yml	100644	blob	603c7ff9c3151fc55c050522c94b224d4bc2ea53	52	203cc6fc6930c94572f841b0924808acc9ad4f1c0cbb1574875221e4a22fc815	excluded	outside-native-package
.github/ISSUE_TEMPLATE.md	100644	blob	060d9262a5e763c78a707222600a02f4c3b5fd66	394	24ac47c35e70fb3c7dfb2b768ac3ae49f6ea997b96beca4fe489f279429509ca	excluded	outside-native-package
.github/ISSUE_TEMPLATE/Bug_report.md	100644	blob	cb87bd6b67572c2d25d1fb94e17fe483dbc0da9b	548	4887dbec17c9e2fd703c0c8ae3e20882f9be53f7fe4a36d61c130838576afe35	excluded	outside-native-package
.github/ISSUE_TEMPLATE/Custom.md	100644	blob	19291c15006c4cd8735315a54343d03fca5f9955	190	d28111df346e5549a60d86e8c473f1a2ef1009ce3c1653441c9d1bb4c31e592b	excluded	outside-native-package
.github/ISSUE_TEMPLATE/Feature_request.md	100644	blob	dcf6a445fbcfa14f32008421886a6c0d96e6c46b	136	bf9bb647959c79e1c64243696e17cdf3788deea3e002793375eac0227e2f0ba2	excluded	outside-native-package
.github/SECURITY.md	100644	blob	9021d429d8615902efbf2cd206823f25df6c8d6a	4209	d829bca715473cd6460083460346f8f4dd223fc282908fa5f001f8bc0f594892	excluded	outside-native-package
.github/workflows/codeql-analysis.yml	100644	blob	617f2df3efcc72560f039631a66d6ed836bf2682	2171	a5115fa19467c4fefe77c648d6d04d145ccb52964aece53a502fba1edf5f2a86	excluded	outside-native-package
.github/workflows/lint.yml	100644	blob	c69aa7fccb559b0139d72ab1468c70ab9020d06c	256	0e81e77e108b6da450c5160dfbe83fbbb580dbf5c6295c08a71e57eda0de7f39	excluded	outside-native-package
